24: my

16: of

12: uh

11: out

9: you

9: and

8: heart

8: head

8: mind

7: your

7: i’m

7: can

7: i

6: 'cause

4: not

4: too

4: the

3: but

3: feel

3: run

3: in

3: is

3: flesh

3: for

3: how

3: crying

3: now

3: every

3: make

3: mine

3: gonna

3: can’t

3: hide

2: far

2: oh

2: hear

2: more

2: call

1: dancing

1: sunshine

1: lie

1: somewhere

1: hiding

1: fairytale

1: awaiting

1: from

1: day

1: old

1: night

1: myself

1: shade

1: each

1: becomes

1: once

1: sneaking

1: trust

1: no

1: away

1: moonlight

1: young

1: more…

1: ain’t

1: eyes

1: see

1: won’t

1: close

1: mistake

1: pain

1: again

1: wandering

1: with

1: what

1: truth

